year-month,EU,PU,EPU,RPU,REPU
1991-8,124.4476938,103.792025,103.2080162,92.16915183,59.75829372
1991-9,118.9657467,113.3319143,137.6758208,144.7139653,162.9726561
1991-10,120.1348879,98.63472784,112.9449509,117.6124973,133.5553547
1991-11,136.399649,111.8521602,131.7005761,123.7205405,145.2287261
1991-12,166.884107,125.8645675,171.228466,72.54634563,99.43763391
1992-1,134.6511985,98.26370483,122.2673525,72.24451724,88.45794798
1992-2,153.2193732,117.1520535,158.0810584,122.2506701,170.7610076
1992-3,132.3045531,104.1364909,129.7724301,102.7023261,128.9756445
1992-4,104.71612,77.68459866,88.82517506,56.85325257,73.13928136
1992-5,98.67084746,73.53186702,82.77824994,75.13717571,100.1856804
1992-6,133.1153192,116.8769113,127.2292514,82.06954741,80.58768792
1992-7,121.8797041,93.17247376,101.2327599,63.88635188,63.2469689
1992-8,123.4470896,103.9041824,116.3952392,82.53347561,118.0215444
1992-9,169.0793665,107.7670499,154.073213,32.36996767,40.57143749
1992-10,162.4619647,118.8471526,165.33138,84.79943097,129.85265
1992-11,121.9057279,90.75767981,115.5594374,70.5126263,63.15894088
1992-12,100.1802644,81.88636241,90.02079985,72.40165653,79.70476036
1993-1,103.9696694,98.24977211,101.7672705,83.68410583,89.80953851
1993-2,111.8307935,101.4637543,131.9138481,168.0845067,256.5927368
1993-3,112.8953294,106.5700177,126.97151,114.1668234,137.8474477
1993-4,95.77178416,83.83787708,89.45871026,94.27327539,115.5483845
1993-5,130.8760145,117.6456023,139.8853201,74.09645325,100.1318604
1993-6,136.842552,115.3169149,138.0045687,91.90350675,129.6656286
1993-7,120.5686444,103.891659,125.2003749,115.6916061,183.936267
1993-8,114.8788769,94.67758103,118.9388398,66.03817364,88.37580054
1993-9,110.2502285,109.6121688,109.3927896,76.68899691,93.14111708
1993-10,103.5537465,93.12429187,91.87354607,88.50492988,100.2045006
1993-11,104.2304314,95.3815886,113.3886341,52.96719375,87.02408017
1993-12,101.8331633,81.4818547,94.43555134,81.6643846,119.7261203
1994-1,106.0299569,81.02026311,88.37909637,60.19270364,84.64783491
1994-2,82.22955742,89.19940663,103.3963332,85.49618909,110.5147997
1994-3,101.0180423,95.57677071,105.4996314,68.9552959,74.97915875
1994-4,100.4534896,94.38595861,85.91273484,53.58909078,76.88866066
1994-5,100.1349471,96.87805004,98.2686816,82.93020284,53.93171434
1994-6,94.79213403,92.31127843,97.01658149,80.58744336,50.46343268
1994-7,84.69772178,89.95931313,84.60033274,63.71335587,35.83947922
1994-8,100.1250268,102.1401706,109.677628,69.80026599,76.02621282
1994-9,89.72903157,110.3189547,94.77120743,99.3588907,81.61788232
1994-10,97.58463676,83.79277599,89.7267385,68.17814132,94.27341388
1994-11,90.10977882,82.37165522,96.8669127,89.93143847,96.17780506
1994-12,103.1483418,116.7950148,106.6511921,134.7614741,110.2518211
1995-1,106.683815,97.5911244,125.1212099,122.3297188,119.2694454
1995-2,87.8368184,90.64986912,92.91726495,114.3460912,199.9276414
1995-3,72.48880442,104.905062,88.94999644,171.2547731,150.5956516
1995-4,71.30566105,72.4384564,64.93563669,101.2462708,91.33781022
1995-5,66.66325483,91.62495351,64.68526771,52.20880385,73.03567077
1995-6,89.81693818,96.00633597,83.87533563,95.21761394,133.04028
1995-7,89.84673099,97.23195823,100.6329068,158.4643057,181.8239679
1995-8,55.05901332,69.91113794,55.62907347,59.60006549,47.9147285
1995-9,68.05947095,93.73128629,78.14062178,111.3266825,94.37872748
1995-10,80.79409931,73.6511706,80.30293533,63.63677356,59.87353772
1995-11,86.23510895,102.5354023,101.6355324,92.33764716,82.23663156
1995-12,72.46892639,96.15433276,82.08203918,126.2746474,132.3227158
1996-1,84.8589616,90.68999361,98.09519868,131.0020047,86.26072679
1996-2,84.41569785,78.60322959,90.69249923,64.7695643,91.45063445
1996-3,77.31808003,88.6848899,82.76223029,95.37408459,73.36765961
1996-4,71.69748413,71.70415881,56.73715669,89.26738803,57.24617414
1996-5,75.1464709,86.28206783,79.01272495,83.78050155,115.061138
1996-6,99.33582222,85.57959569,103.5890729,101.9102492,108.0332993
1996-7,70.64280288,91.72655702,80.54827335,91.85361005,51.09391262
1996-8,86.55670711,91.1319732,103.1899221,103.2358769,106.0487676
1996-9,74.07455473,85.44648616,87.72882522,91.01771558,31.95270974
1996-10,57.4357649,73.36170047,63.1923803,91.87221829,116.0268666
1996-11,63.37388185,79.30397496,63.65138862,92.678755,88.67376514
1996-12,53.92993717,66.68831543,58.57218699,49.32265956,34.22607976
1997-1,75.29849813,86.46038616,80.16560316,83.81370628,73.49728425
1997-2,89.22193747,102.4301326,102.4580051,115.655126,113.4730668
1997-3,64.53312133,77.83684021,80.78419261,78.11313141,59.96171821
1997-4,65.88372573,96.05507071,61.86306087,52.6120471,21.06814663
1997-5,80.99652984,102.1778618,100.6839091,88.67188241,83.75850214
1997-6,88.4072265,94.93074025,95.79561955,123.3499541,80.07969835
1997-7,68.38814407,96.81059216,85.46674074,95.18411137,44.22426734
1997-8,58.98221052,65.3121836,53.36876214,76.71591974,64.92788662
1997-9,52.31161376,80.12949684,43.85742517,101.9392849,40.57464637
1997-10,87.7803036,94.60747284,102.9573519,93.38619249,124.4901842
1997-11,82.19266082,79.85078954,88.71070304,86.93079529,82.08433646
1997-12,113.2107201,85.48680394,94.28251748,111.8312683,104.0681958
1998-1,110.0589112,114.0281529,110.901364,94.88086802,85.15191978
1998-2,96.9715167,89.55684393,110.152757,65.7099605,94.02145726
1998-3,87.84041624,94.6698841,95.90357722,54.47261415,77.712565
1998-4,75.03030194,82.91440592,72.57983684,72.26230868,72.0123927
1998-5,94.61841828,88.51481828,82.02381628,142.5073081,107.5440571
1998-6,77.65444615,85.49426411,75.65316632,89.90918514,110.8414477
1998-7,84.01286154,99.28400655,103.2058064,105.6294073,105.5731741
1998-8,139.7051781,117.6320848,144.4269007,125.2090626,168.2159248
1998-9,154.9313633,141.006535,167.8667601,102.3538674,94.25941191
1998-10,114.0946738,96.41469844,117.0569417,52.09434863,67.1898951
1998-11,138.9841216,117.8290093,131.9568614,105.0085343,143.2191678
1998-12,111.5878524,113.3429366,126.1118623,108.9361714,119.5655026
1999-1,115.2713225,115.4389757,112.9239396,131.3205851,143.1791242
1999-2,77.67157476,98.05166712,98.95148062,82.34977638,109.8863406
1999-3,65.76173896,73.3126945,57.33633683,60.7321406,20.16922789
1999-4,49.59125819,73.22683633,45.92629675,106.6044725,52.75675208
1999-5,72.88476886,82.22595382,66.87002273,49.37415475,27.30075713
1999-6,65.81152397,96.6296142,76.71748113,117.2405711,85.9279552
1999-7,74.06073646,88.62767356,84.28164366,78.74325897,78.74861815
1999-8,69.85008286,46.79869469,53.82619243,46.8827002,62.9689989
1999-9,65.72457401,78.9527841,65.09593429,56.79150792,0
1999-10,63.4500057,74.67317961,62.72444396,80.93107813,39.61223207
1999-11,69.39587654,70.93466065,57.0571614,105.6792609,90.67715587
1999-12,76.45404635,79.5516625,74.49295152,89.62208108,75.39761544
2000-1,69.82546286,78.62015805,76.10728139,75.22246716,95.3186774
2000-2,58.27545433,69.54890998,63.27272713,76.9534754,55.43593338
2000-3,70.09868901,81.70831293,66.12900421,145.748468,129.8789377
2000-4,75.11109716,73.02144566,59.99997491,106.9795663,91.5923028
